Name,Gene_ID,GenomeBuild,Chr,Accession
cg06899582,55609,36,X,NM_017666.2
cg06899802,1452,36,5,NM_001892.4
cg06899808,4105,36,X,NM_005363.2
cg06899976,29930,36,5,NM_013340.2
cg06900776,51566,36,X,NM_016607.3
cg06901392,10808,36,13,NM_006644.2
cg06904813,84968,36,X,NM_032882.2
cg06905514,816,36,7,NM_001220.3
cg06905862,1200,36,11,NM_000391.2
cg06906435,283598,36,14,NM_182560.1
cg06907544,283796,36,15,XR_001517.1
cg06908474,847,36,11,NM_001752.2
cg06908778,9576,36,10,NM_012443.2
cg06910048,55216,36,11,NM_018195.2
cg06910100,83878,36,19,NM_031941.3
cg06911084,1749,36,7,NT_007933.14
cg06911113,127733,36,1,NM_152376.2
cg06912252,84302,36,9,NM_032342.1
cg06913228,51465,36,6,NM_016021.2
cg06914598,57786,36,7,NM_021163.2
cg06915165,23710,36,12,NM_031412.2
cg06917325,9376,36,11,NM_004254.2
cg06918467,167826,36,6,NM_175747.2
cg06919067,197370,36,16,NM_145080.2
cg06919203,64096,36,20,NM_022139.2
cg06919956,375775,36,9,NM_152286.2
cg06921282,115399,36,11,NM_198075.1
cg06922130,11004,36,1,NM_006845.2
cg06926735,7335,36,20,NM_021988.3
cg06927864,11141,36,X,NM_014271.2
cg06930095,23478,36,15,NM_014300.2
cg06933072,55811,36,1,NM_018417.2
cg06933965,1240,36,12,NM_004072.1
cg06937608,176,36,15,NM_001135.1
cg06938406,1337,36,12,NM_004373.2
cg06938878,797,36,11,NM_000728.3
cg06940107,118421,36,21,NM_145033.1
cg06940574,148645,36,1,NM_153709.1
cg06940792,84466,36,5,NM_032446.1
cg06941093,148979,36,1,NM_147193.1
cg06942110,26173,36,7,XM_931325.1
cg06942445,7216,36,X,NM_177555.1
cg06942536,140462,36,X,NM_024087.1
cg06943865,23089,36,7,NT_007933.14
cg06944050,79836,36,X,NM_024778.4
cg06945625,5269,36,6,NM_004568.4
cg06946880,525,36,2,NM_001692.2
cg06948294,29091,36,14,NM_014178.6
cg06948408,128218,36,1,NM_144626.1
cg06948937,5129,36,1,NM_002596.2
cg06949789,6138,36,3,NM_002948.2
cg06950730,6876,36,11,NM_003186.3
cg06952117,4664,36,2,NM_005966.3
cg06952236,10125,36,15,NM_005739.2
cg06952310,1463,36,19,NM_004386.1
cg06952412,,,,
cg06953304,4820,36,3,NM_005385.3
cg06953768,134553,36,5,NM_152409.2
cg06953995,445815,36,9,NM_007203.3
cg06954481,2637,36,2,NM_001485.2
cg06956273,2780,36,1,NM_005272.2
cg06956646,6655,36,14,NM_006939.1
cg06957329,51649,36,17,NM_016070.2
cg06958034,23028,36,1,NM_015013.2
cg06958211,56924,36,15,NM_020168.3
cg06958537,2114,36,21,NM_005239.4
cg06958829,1101,36,17,NM_001267.1
cg06959635,4168,36,X,NM_005369.2
cg06960698,2259,36,13,NM_004115.2
cg06963844,26270,36,1,NM_018438.4
cg06971096,5798,36,2,NM_002846.2
cg06973652,672,36,17,NM_007294.2
cg06973760,4772,36,18,NM_006162.3
cg06974755,5900,36,9,NM_006266.2
cg06975499,2145,36,17,NM_001991.2
cg06975739,6892,36,6,NM_003190.3
cg06976977,285521,36,4,NM_001033760.1
cg06979034,7984,36,7,NM_001002861.1
cg06980053,11186,36,3,NT_022517.17
cg06980380,1838,36,2,NM_183360.1
cg06980460,2346,36,11,NM_004476.1
cg06981182,55328,36,10,NM_001031709.1
cg06981910,136263,36,7,NM_145268.2
cg06983551,699,36,2,NM_004336.2
cg06985415,282973,36,10,NM_194303.1
cg06987504,3646,36,8,NM_001568.1
cg06990298,51655,36,17,NM_016084.3
cg06990379,1806,36,1,NM_000110.2
cg06992027,8407,36,1,NM_003564.1
cg06993413,54878,36,15,NM_197960.1
cg06994747,81794,36,19,NM_030957.2
cg06994787,,,,
cg06994793,55374,36,5,NM_018502.2
cg06995715,2300,36,16,NM_005250.1
cg06999776,10505,36,2,NM_004263.2
cg07000551,90427,36,15,NM_001003940.1
cg07000785,1647,36,1,NM_001924.2
cg07000831,83852,36,13,NM_031915.1
cg07003563,829,36,1,NM_006135.1
cg07004820,7039,36,2,NM_003236.1
cg07005513,9415,36,11,NM_004265.2
cg07005767,137735,36,8,NM_139166.2
cg07006042,483,36,3,NM_001679.2
cg07006526,6525,36,22,NM_006932.3
cg07007400,3855,36,12,NM_005556.3
cg07008350,162699,36,18,NM_145653.2
cg07008386,23236,36,20,NM_182734.1
cg07009002,4151,36,22,NM_005368.2
cg07011110,696,36,6,NM_001732.1
cg07011445,54780,36,10,NM_017615.1
cg07013734,7225,36,11,NM_004621.3
cg07014174,337880,36,21,NM_175858.2
cg07015079,148741,36,1,NM_144698.2
cg07015629,2066,36,2,NM_005235.1
cg07016325,10914,36,14,NM_032632.3
cg07017374,2322,36,13,NM_004119.1
cg07017477,117145,36,1,NM_053055.3
cg07017706,319101,36,12,NM_175068.2
cg07018708,57061,36,6,XR_001058.1
cg07020407,10016,36,5,NM_013232.2
cg07020962,10982,36,18,NM_014268.1
cg07022477,64344,36,19,NM_022462.2
cg07022885,283254,36,11,NM_173811.2
cg07026910,3635,36,2,NM_001017915.1
cg07027075,6133,36,4,NM_001024921.2
cg07027513,9331,36,18,NM_004775.2
cg07027685,3376,36,9,NM_013417.1
cg07028533,26047,36,7,NM_014141.3
cg07028869,79962,36,12,NM_024902.2
cg07029998,2475,36,1,NM_004958.2
cg07031532,4947,36,15,NM_002537.1
cg07031996,4520,36,1,NM_005955.1
cg07033083,260294,36,7,NM_032158.2
cg07034269,56886,36,2,NM_001025777.1
cg07034561,89765,36,21,NM_080860.2
cg07035740,6620,36,5,NM_003085.3
cg07036530,2849,36,10,NM_153442.1
cg07036775,84265,36,1,NM_032305.1
cg07038400,5523,36,3,NM_181897.1
cg07038617,10061,36,7,NM_005692.3
cg07038887,642,36,17,NM_000386.2
cg07039113,6280,36,1,NM_002965.2
cg07039362,221223,36,16,NM_145024.1
cg07042144,91662,36,19,NM_033297.1
cg07043494,3269,36,3,NM_000861.2
cg07044282,9068,36,1,NM_004673.3
cg07047653,359,36,12,NM_000486.3
cg07048066,51306,36,5,NM_016603.1
cg07048351,27230,36,3,NM_014445.2
cg07049929,5826,36,14,NM_020323.1
cg07050831,154791,36,7,NM_197964.1
cg07051140,85007,36,5,NM_032921.1
cg07051960,478,36,19,NM_152296.3
cg07052087,7167,36,12,NM_000365.4
cg07052387,3091,36,14,NM_181054.1
cg07052880,525,36,2,NM_001692.2
cg07053469,126272,36,19,NM_152361.1
cg07054095,256051,36,19,NM_153263.1
cg07054526,672,36,17,NT_010755.15
cg07054641,55779,36,3,NM_018338.2
cg07054788,6125,36,1,NM_000969.3
cg07056057,140735,36,17,NM_080677.1
cg07057831,2054,36,12,NM_194356.1
cg07059052,6923,36,16,NM_007108.2
cg07059360,661,36,8,NM_001722.2
cg07059403,6991,36,6,NM_174910.1
cg07059875,4072,36,2,NM_002354.1
cg07060572,84441,36,11,NM_032427.1
cg07061145,55466,36,15,NM_018602.2
cg07061913,23234,36,10,NM_015190.3
cg07063745,10314,36,2,NM_006055.1
cg07064406,7529,36,20,NM_003404.3
cg07065941,7071,36,8,NM_005655.1
cg07066326,66005,36,11,NM_023947.2
cg07067241,7220,36,3,NM_003304.3
cg07068616,5001,36,7,NM_002553.2
cg07068998,4893,36,1,NM_002524.2
cg07070694,53349,36,14,NM_021260.1
cg07070934,2701,36,1,NM_002060.2
cg07070940,8226,36,X,NM_012080.3
cg07071881,25793,36,22,NM_012179.3
cg07072140,140838,36,20,NM_152667.1
cg07072643,84658,36,19,NM_032571.2
cg07073964,400668,36,19,NM_214710.1
cg07074571,56895,36,6,NM_020133.2
cg07075930,5797,36,18,NM_002845.2
cg07076342,4201,36,6,NM_014623.2
cg07077459,5325,36,6,NT_025741.14
cg07078114,138311,36,9,NM_152421.2
cg07080007,6155,36,17,NM_000988.2
cg07080358,25927,36,2,NM_015463.1
cg07080946,55692,36,16,NM_201412.1
cg07081888,147945,36,19,NM_134444.3
cg07082267,,,,
cg07082331,656,36,1,NM_001720.3
cg07084161,4683,36,8,NM_002485.4
cg07084163,167127,36,5,NM_174914.2
cg07084709,145781,36,15,NM_001018090.1
cg07084746,23434,36,3,NM_007354.1
cg07085271,10893,36,20,NM_006690.3
cg07086380,25816,36,5,NM_014350.1
cg07086898,84833,36,10,NM_032747.1
cg07090813,26227,36,1,NM_006623.2
cg07091552,7352,36,11,NM_003356.2
cg07091958,23168,36,15,NM_015138.3
cg07092725,27133,36,14,NM_139318.3
cg07093046,4548,36,1,NM_000254.1
cg07093661,27294,36,19,NM_014475.2
cg07094298,,,,
cg07097098,5794,36,19,NM_002842.2
cg07098866,84465,36,15,NM_032445.1
cg07099407,89953,36,6,NM_201521.1
cg07099627,64748,36,19,NM_022737.1
cg07102705,3360,36,5,NM_000870.2
cg07103493,28965,36,5,NM_014031.3
cg07103819,8694,36,8,NM_012079.2
cg07104706,114798,36,13,NM_052910.1
cg07105440,1154,36,3,NM_145071.1
cg07107453,10561,36,1,NM_006417.2
cg07107916,,,,
cg07109287,9355,36,9,NM_004789.3
cg07109670,93594,36,8,NM_145647.1
cg07109801,25915,36,3,NM_199069.1
cg07112154,4355,36,17,NM_005374.3
cg07112210,146664,36,17,NM_144677.2
cg07113600,11278,36,13,NM_016285.2
cg07114024,22893,36,15,NM_014952.2
cg07114894,7571,36,16,NM_145911.1
cg07115304,57761,36,20,NM_021158.3
cg07115558,7089,36,19,NM_003260.3
cg07115820,8288,36,17,NM_000502.2
cg07117700,5705,36,17,NM_002805.4
cg07118243,51134,36,12,NM_016122.1
cg07118638,90459,36,8,NM_153332.2
cg07122126,7554,36,19,NM_021089.1
cg07122495,79682,36,4,NM_024629.2
cg07122905,,,,
cg07123069,3227,36,12,NM_014212.2
cg07123548,147746,36,19,NM_144685.3
cg07125009,115509,36,16,NM_138447.1
cg07125123,50484,36,8,NM_015713.3
cg07125166,285231,36,3,NM_207102.1
cg07125991,196463,36,12,NM_173542.2
cg07126559,6445,36,13,NM_000231.1
cg07126839,283991,36,17,NM_182565.2
cg07127225,2217,36,19,NM_004107.3
cg07127957,79933,36,10,NM_024875.2
cg07128330,55846,36,12,NM_018463.2
cg07129274,8332,36,6,NM_003511.2
cg07131544,9436,36,6,NM_004828.2
cg07132517,5441,36,11,NM_021128.3
cg07133445,6650,36,16,NM_005632.2
cg07136161,1539,36,9,NM_001340.1
cg07136254,148738,36,1,NM_145277.3
cg07136421,51463,36,1,NM_016334.2
cg07137581,139285,36,X,NM_152424.1
cg07138512,5909,36,1,NM_002885.1
cg07139440,10962,36,1,NM_006818.3
cg07141002,3005,36,22,NM_005318.2
cg07142319,26279,36,1,NM_012400.2
cg07143898,6585,36,10,NM_003061.1
cg07146718,2258,36,X,NM_033642.1
cg07147350,2332,36,X,NM_002024.3
cg07148914,2686,36,20,NM_178025.1
cg07149772,54793,36,8,NM_017634.2
cg07150830,4843,36,17,NM_000625.3
cg07152925,6285,36,21,NM_006272.1
cg07153965,56,36,11,NM_020069.3
cg07154408,8654,36,4,NM_033430.2
cg07155664,6208,36,5,NM_005617.3
cg07156669,1362,36,17,NM_001304.3
cg07158339,2395,36,9,NM_000144.3
cg07159490,11247,36,12,NM_007224.1
cg07160163,6850,36,9,NM_003177.3
cg07163603,3105,36,6,NM_002116.5
cg07165793,11276,36,17,NM_007247.3
cg07168556,124857,36,17,NM_175575.4
cg07172256,55914,36,5,NM_001006600.1
cg07172280,29952,36,9,NM_013379.2
cg07173760,1178,36,19,NM_001828.4
cg07175007,127933,36,1,NM_175866.2
cg07175883,3239,36,2,NM_000523.2
cg07177300,9758,36,X,NM_014728.1
cg07177755,2073,36,13,NM_000123.2
cg07177852,80323,36,18,NM_025214.1
cg07179770,79786,36,16,NM_024731.2
cg07180649,54361,36,1,NM_030761.3
cg07181349,3815,36,4,NM_000222.1
cg07181881,151230,36,2,NM_144711.3
cg07184439,4247,36,14,NM_002408.3
cg07185695,64757,36,1,NM_022746.2
cg07186138,27350,36,22,NM_014508.2
cg07186707,10298,36,19,NM_001014831.1
cg07189381,7138,36,19,NM_003283.3
cg07190485,2040,36,9,NM_198194.1
cg07190917,6810,36,16,NM_004604.3
cg07191600,55809,36,6,NM_018415.1
cg07192857,3304,36,6,NM_005346.3
cg07193504,6726,36,1,NM_003133.1
cg07195282,147837,36,19,NM_145276.1
cg07195577,116238,36,17,NM_138463.2
cg07195622,23524,36,16,NM_016333.2
cg07196761,80227,36,11,NM_025155.1
cg07197059,10278,36,14,NM_032459.1
cg07197823,3625,36,2,NM_002193.1
cg07200280,23180,36,3,NM_015150.1
cg07200897,79663,36,3,NM_024610.3
cg07204803,200894,36,3,NM_182896.1
cg07207789,83716,36,16,NM_031476.1
cg07207937,65008,36,4,NM_020236.2
cg07209631,152926,36,4,NM_152542.2
cg07210490,6602,36,12,NM_139071.1
cg07211259,80380,36,9,NM_025239.2
cg07212894,10991,36,3,NM_006841.3
cg07214572,56956,36,1,NM_020204.2
cg07215749,8835,36,12,NT_019546.15
cg07218192,64398,36,14,NM_022474.2
cg07218880,65110,36,13,NM_023011.2
cg07220442,57122,36,12,NM_020401.2
cg07220939,116085,36,11,NM_144585.2
cg07221454,341116,36,11,NM_206893.1
cg07223164,58505,36,4,NM_021227.2
cg07230446,26058,36,2,NM_015575.2
cg07231132,162461,36,17,NM_153229.1
cg07232688,127495,36,1,NM_144620.1
cg07233761,11082,36,5,NM_007036.2
cg07236190,144193,36,12,NM_152435.1
cg07236358,51367,36,12,NM_198202.1
cg07236381,27125,36,5,NM_014423.2
cg07236769,3467,36,9,NM_002177.1
cg07236943,23089,36,7,XM_496907.2
cg07237830,26580,36,11,NM_032667.4
cg07237939,6581,36,6,NM_021977.2
cg07238167,1968,36,X,NM_001415.2
cg07239938,1991,36,19,NM_001972.2
cg07240721,135114,36,6,NM_138571.3
cg07241568,28,36,9,NM_020469.2
cg07242375,4007,36,X,NM_006150.3
cg07242414,649,36,8,NM_001199.1
cg07242565,2063,36,19,NM_005234.3
cg07243519,51569,36,13,NM_016617.1
cg07243932,7782,36,15,NM_013309.4
cg07246225,9839,36,2,NM_014795.2
cg07248043,114885,36,3,NM_022776.3
cg07248310,51361,36,1,NM_015888.3
cg07248407,1785,36,19,NM_004945.2
cg07249409,54987,36,1,NM_017887.1
cg07251788,8218,36,22,NM_001835.1
cg07251857,57538,36,15,NM_020778.1
cg07253191,8050,36,11,NM_003477.1
cg07256847,6953,36,6,NM_004610.2
cg07258507,64806,36,14,NM_022789.2
cg07259382,55016,36,4,NM_017923.2
cg07260017,1436,36,5,NM_005211.2
cg07260592,4018,36,6,XM_926329.1
cg07263984,1176,36,5,NM_001284.2
cg07264679,9332,36,12,NM_004244.3
cg07265300,375189,36,2,NM_199346.1
cg07265310,196374,36,12,NM_173352.1
cg07265622,51003,36,17,NM_016060.1
cg07267296,79618,36,8,NM_024567.2
cg07269146,6366,36,9,NM_002989.2
cg07270175,64318,36,10,NM_022451.9
cg07271264,4654,36,11,NM_002478.3
cg07271268,5927,36,12,NM_005056.1
cg07273415,220002,36,11,NM_153611.3
cg07274506,79707,36,1,NM_024654.3
cg07276902,6637,36,2,NM_003096.2
cg07278207,341019,36,11,NM_181807.1
cg07278624,255394,36,12,NM_152772.1
cg07281640,54942,36,9,NM_017832.2
cg07281688,10728,36,12,NM_006601.4
cg07284407,2778,36,20,NT_011362.9
cg07284558,282974,36,10,NM_173575.2
cg07285167,1441,36,1,NM_156038.2
cg07285276,2889,36,9,NM_005312.2
cg07285838,80167,36,4,NM_025097.1
cg07285953,1411,36,17,NM_005208.3
cg07288394,83636,36,19,NM_031448.2
cg07288587,53944,36,15,NM_001011664.2
cg07289581,60488,36,12,NM_021821.2
cg07290273,200728,36,2,NM_198276.1
cg07290435,1008,36,5,NM_006727.2
cg07291563,83743,36,19,NM_031485.2
cg07292816,146779,36,17,NM_173503.1
cg07293947,94081,36,5,NM_022754.4
cg07294541,50619,36,6,NM_022047.2
cg07294734,513,36,19,NM_001687.4
cg07294774,1734,36,14,NM_000793.3
cg07294870,51604,36,20,NM_015937.2
cg07295034,23049,36,16,NM_015092.3
cg07295092,2356,36,9,NM_004957.4
cg07295678,10570,36,10,NM_006426.1
cg07296772,29082,36,14,NM_014169.2
cg07297178,1087,36,19,NM_006890.1
cg07297906,2719,36,X,NM_004484.2
cg07299462,112950,36,1,NM_052877.2
cg07300408,122651,36,14,NM_145250.3
cg07301004,10094,36,12,NM_005719.2
cg07301822,9871,36,4,NM_014822.1
cg07306197,10781,36,19,NM_198058.1
cg07307078,84617,36,18,NM_032525.1
cg07308943,55006,36,2,NM_017910.2
cg07309102,9314,36,9,NM_004235.3
cg07309361,57060,36,3,NM_020418.2
cg07309374,10954,36,3,NM_006810.1
cg07310661,8452,36,2,NM_003590.2
cg07310951,23619,36,19,NT_011109.15
cg07311845,55217,36,X,XM_938703.1
cg07312445,79730,36,4,NM_024677.3
cg07313155,7067,36,17,NM_003250.4
cg07314337,151188,36,2,NM_152522.2
cg07314414,79595,36,2,NM_024545.2
cg07314549,112479,36,16,NM_080663.1
cg07314984,5256,36,X,NM_000292.1
cg07315298,349334,36,9,NM_199244.2
cg07315445,4637,36,12,NM_021019.2
cg07318658,9110,36,17,NM_004687.3
cg07321605,4905,36,17,NM_006178.1
cg07322981,7844,36,2,NM_005667.2
cg07326074,80178,36,16,NM_025108.1
cg07326586,10537,36,6,NM_006398.2
cg07327328,11190,36,20,NM_007186.2
cg07327347,343,36,16,NM_001169.2
cg07327468,2070,36,6,NM_004100.2
cg07328495,10592,36,9,NM_006444.1
cg07328579,83468,36,12,NM_031302.2
cg07330329,79097,36,11,NM_024114.2
cg07330718,10525,36,11,NM_006389.2
cg07331725,5268,36,18,NT_025028.13
cg07331806,150209,36,22,NM_144704.1
cg07334912,92675,36,20,NM_080820.3
cg07336230,221458,36,6,NM_145027.3
cg07337598,8416,36,1,NM_003568.1
cg07338205,57818,36,2,NM_021176.1
cg07339138,152206,36,3,NM_144719.2
cg07339327,595,36,11,NT_078088.3
cg07341907,10497,36,9,NM_006377.2
cg07342016,9363,36,X,NM_004794.2
cg07342545,2355,36,2,NM_005253.3
cg07342901,283120,36,11,NR_002196.1
cg07346310,221662,36,6,NM_153020.1
cg07347137,23318,36,1,NM_015269.1
cg07347645,10388,36,20,NM_014258.2
cg07347725,254956,36,9,NM_198469.1
cg07348311,64135,36,2,NM_022168.2
cg07349094,3899,36,2,NM_002285.2
cg07351267,4037,36,19,NM_002333.1
cg07352586,91749,36,6,NM_153369.1
cg07352600,80262,36,16,NM_025187.3
cg07354209,2191,36,2,NM_004460.2
cg07354440,4720,36,1,NM_004550.3
cg07355551,79175,36,20,NM_024325.4
cg07356189,1527,36,X,NM_001586.1
cg07356753,2632,36,3,NM_000158.1
cg07356771,55349,36,3,NM_018397.1
cg07357256,64949,36,20,NM_030811.3
cg07359545,2812,36,22,NM_000407.3
cg07360076,2261,36,4,NM_000142.2
cg07360692,54790,36,4,NM_017628.2
cg07361385,197,36,3,NM_001622.1
cg07363637,80736,36,6,NM_025257.1
cg07364638,51335,36,15,NM_016645.2
cg07364841,3083,36,4,NM_001528.2
cg07366967,55218,36,14,NM_018199.1
cg07369274,1776,36,3,NM_004944.2
cg07371290,10014,36,17,NM_005474.4
cg07371413,,,,
cg07371530,113000,36,16,NM_058192.2
cg07373172,3452,36,9,NM_002175.1
cg07374145,27106,36,19,NM_015683.1
cg07374632,27344,36,X,NM_013271.2
cg07374637,337972,36,21,NM_181611.1
cg07374928,79607,36,11,NM_024556.1
cg07376029,2638,36,4,NM_000583.2
cg07376232,120425,36,11,NM_153206.1
cg07376535,116,36,18,NM_001117.2
cg07378350,8200,36,20,NM_000557.2
cg07379574,25789,36,19,NM_012109.1
cg07380416,923,36,11,NM_006725.2
cg07380496,4131,36,5,NM_032010.1
cg07380959,7980,36,7,NM_006528.2
cg07383972,23165,36,7,NM_015135.1
cg07384961,9074,36,16,NM_021195.3
cg07387199,1655,36,17,NM_004396.2
cg07387450,50999,36,1,NM_016040.3
cg07388493,4725,36,1,NM_004552.1
cg07389922,23587,36,17,NM_203414.1
cg07390373,,,,
cg07393322,53947,36,22,NM_017436.4
cg07395788,57107,36,6,NM_020381.2
cg07398350,79650,36,16,NM_024598.2
cg07398429,4115,36,X,NM_002367.2
cg07399355,4582,36,1,NM_002456.4
cg07401901,23002,36,14,NM_014992.1
cg07403255,7849,36,2,NM_013951.2
cg07403350,3981,36,13,NM_002312.3
cg07404418,54784,36,7,NM_017621.2
cg07404485,5444,36,7,NM_000446.3
cg07405796,135644,36,6,NM_138700.2
cg07408456,114770,36,19,NM_052890.2
cg07408740,4967,36,7,NM_002541.2
cg07409200,144809,36,13,NM_182508.1
cg07410075,8030,36,10,NM_005436.2
cg07411229,128153,36,1,NM_138796.2
cg07412254,84931,36,2,NM_032845.1
cg07413497,135154,36,6,NM_145267.2
cg07414384,11177,36,14,NM_013448.2
cg07421682,5046,36,15,NM_138320.1
cg07422345,1050,36,19,NM_004364.2
cg07423149,1116,36,1,NM_001276.1
cg07423906,146705,36,17,NM_144679.1
cg07424155,830,36,7,NM_006136.2
cg07425555,79883,36,19,NM_024825.2
cg07426848,6274,36,1,NM_002960.1
cg07426960,595,36,11,NT_078088.3
cg07427065,4232,36,7,NT_007933.14
cg07428089,518,36,2,NM_001689.2
cg07428182,55558,36,X,NM_017514.2
cg07430605,10902,36,5,NM_006696.3
cg07432969,2859,36,2,NM_005301.2
cg07433344,7923,36,6,NM_014234.3
cg07433453,115330,36,7,NM_138445.2
cg07434278,1589,36,6,NM_000500.5
cg07434382,348174,36,16,NM_182619.1
cg07435592,131566,36,3,NM_080927.3
cg07436807,59,36,10,NM_001613.1
cg07437033,7709,36,1,NM_003443.1
cg07440387,6431,36,20,NM_006275.4
cg07440414,6932,36,5,NM_201633.1
cg07440877,400110,36,13,NM_207439.2
cg07441143,57152,36,8,NM_020427.2
cg07441272,116832,36,3,NM_052969.1
cg07441944,,,,
cg07442479,2668,36,5,NM_000514.2
cg07443748,150160,36,22,NM_014406.4
cg07443954,770,36,19,NM_001217.3
cg07444907,134510,36,5,NM_145049.1
cg07446572,83461,36,12,NM_031299.3
cg07446846,6535,36,X,NM_005629.1
cg07447773,22977,36,1,NM_012067.2
cg07447922,284656,36,1,NM_173641.1
cg07448460,8836,36,8,NM_003878.1
cg07448499,1512,36,15,NM_004390.2
cg07448856,93474,36,1,NM_033213.2
cg07452799,56288,36,10,NM_019619.2
cg07453618,127262,36,1,NM_182752.3
cg07453748,4255,36,10,NT_008818.15
cg07454215,55802,36,3,NM_018403.2
cg07455279,4696,36,19,NM_004542.1
cg07455975,29789,36,2,NM_013341.3
cg07456201,7369,36,16,NM_001008389.1
cg07456645,284424,36,19,NM_174947.2
cg07457944,9306,36,18,NM_004232.2
cg07459264,55707,36,1,NM_018090.3
cg07459489,169026,36,8,NM_173851.2
cg07460665,10241,36,17,NM_005831.3
cg07461318,59277,36,12,NM_021229.2
cg07461582,60561,36,7,NM_021930.3
cg07463059,3428,36,1,NM_005531.1
cg07465480,7172,36,6,NM_000367.2
cg07465609,346007,36,6,NM_198283.1
cg07465864,64848,36,5,NM_022828.2
cg07466531,6727,36,15,NM_003134.2
cg07469792,11228,36,12,NM_007211.2
cg07471052,1018,36,17,NM_001258.1
cg07472159,1300,36,6,NM_000493.2
cg07473175,347902,36,12,NM_181847.2
cg07473550,1831,36,X,NM_004089.3
cg07474356,27328,36,X,NM_032967.1
cg07475247,9512,36,7,NM_004279.1
cg07475743,133060,36,4,NM_177998.1
cg07476030,84816,36,6,NM_032730.3
cg07477160,10397,36,8,NM_006096.2
cg07478100,51009,36,17,NM_016041.2
cg07478122,347686,36,15,NR_001294.1
cg07478208,56917,36,19,NM_001009813.1
cg07479491,654,36,6,NM_001718.2
cg07480567,9955,36,17,NM_006042.1
cg07482936,388407,36,17,NM_203425.1
cg07483064,2023,36,1,NM_001428.2
cg07484450,283197,36,11,NM_174939.2
cg07484827,57053,36,11,NM_020402.2
cg07485588,349334,36,9,NM_199244.2
cg07485777,166655,36,4,NM_152620.2
cg07487535,1717,36,11,NM_001360.1
cg07489003,7504,36,X,NM_021083.2
cg07489134,3070,36,10,NM_018063.3
cg07490776,10947,36,8,NM_006803.2
cg07494047,57343,36,19,NM_020657.1
cg07494248,3329,36,2,NM_002156.4
cg07494518,150094,36,21,NM_173354.2
cg07495664,55793,36,1,NM_018379.2
cg07496861,151194,36,2,NM_145280.3
cg07496902,142686,36,3,NM_130387.4
cg07498421,8738,36,12,NM_003805.3
cg07498879,5008,36,22,NM_020530.3
cg07499072,10468,36,5,NM_013409.1
cg07499259,,,,
cg07499372,57663,36,19,NM_020903.2
cg07499806,79149,36,19,NM_024303.1
cg07501965,89832,36,15,NM_139320.1
cg07503829,23410,36,11,NM_012239.4
cg07504718,118856,36,10,NM_147191.1
cg07504780,5698,36,6,NM_002800.4
cg07505695,51324,36,15,NM_016630.3
cg07506795,7567,36,16,NM_006961.2
cg07507271,1487,36,4,NM_001328.2
cg07509155,163702,36,1,NM_170743.2
cg07510052,192286,36,5,NM_138820.2
cg07510080,55662,36,10,NM_017902.1
cg07512345,7142,36,16,NM_005425.4
cg07512517,6965,36,7,
cg07514381,79442,36,3,NM_024512.2
cg07515662,6231,36,12,NM_001029.3
cg07516225,80185,36,8,NM_025115.1
cg07518362,4853,36,1,NM_024408.2
cg07519011,9882,36,13,NM_014832.1
cg07520158,23080,36,7,NM_015060.1
cg07520161,160418,36,12,NM_181783.1
cg07525077,6037,36,14,NM_002935.2
cg07525445,7168,36,15,NM_000366.5
cg07526021,1719,36,5,NM_000791.3
cg07526069,2805,36,10,NM_002079.1
cg07526675,27344,36,X,NM_013271.2
cg07531356,11172,36,9,NM_007179.2
cg07533148,25893,36,1,NM_015431.2
cg07533529,256364,36,11,NM_153265.1
cg07534467,7564,36,8,NM_006958.2
cg07535475,10952,36,9,NM_006808.2
cg07535879,54516,36,6,NM_019041.3
cg07536847,5081,36,1,NM_002584.1
cg07536920,6096,36,9,NM_006914.3
cg07537523,586,36,12,NM_005504.4
cg07540118,8728,36,5,NM_033274.2
cg07543883,83854,36,19,NM_031917.2
cg07545232,4102,36,X,NM_005362.3
cg07545925,917,36,11,NM_000073.1
cg07546360,400931,36,22,NM_207477.1
cg07547549,,,,
cg07548313,911,36,1,NM_001765.1
cg07549194,113091,36,19,NM_178449.2
cg07549630,121441,36,12,NM_152905.2
cg07549715,2797,36,20,NM_178331.1
cg07550267,6202,36,1,NM_001012.1
cg07550278,118924,36,10,NM_203440.2
cg07550362,6863,36,7,NM_003182.1
cg07551659,84952,36,15,NM_032866.3
cg07553761,,,,
cg07554030,4669,36,17,NM_000263.3
cg07557424,138716,36,9,NM_148178.1
cg07558006,83551,36,6,NM_053278.1
cg07558455,163782,36,1,NM_181712.2
cg07559730,79986,36,19,NM_024924.3
cg07560096,10873,36,11,NM_006680.2
cg07561400,56829,36,7,NM_024625.3
cg07561588,11236,36,8,NM_007218.3
cg07566050,8682,36,1,NM_003768.2
cg07567107,63897,36,17,NM_022070.3
cg07569069,126074,36,19,NM_175871.2
cg07569756,55379,36,17,NM_018509.2
cg07570142,26002,36,6,NM_015529.1
cg07570421,9317,36,10,NM_001001484.1
cg07571117,25940,36,2,NM_015475.3
cg07572341,3170,36,20,NM_021784.3
cg07572435,8581,36,8,NM_003695.2
cg07573342,,,,
cg07576541,23557,36,1,NM_012437.3
cg07577263,23165,36,7,NM_015135.1
cg07579404,154064,36,6,NM_130900.1
cg07580475,7869,36,3,NM_004636.2
cg07580827,120379,36,11,NM_138789.2
cg07581365,57332,36,17,NM_020649.1
